"gene","gene_name","dev_default","rank_default","dev_brain","rank_brain"
"ENSG00000175756","AURKAIP1",14238.5520653965,1272,14105.5287617467,1265
"ENSG00000242485","MRPL20",14274.0377338174,1265,14062.7750185912,1276
"ENSG00000160075","SSU72",14439.2567935649,1227,14421.6361957102,1165
"ENSG00000078369","GNB1",17942.0566508107,476,17911.6254412332,414
"ENSG00000187730","GABRD",16597.1424040372,696,16499.3406370562,656
"ENSG00000158109","TPRG1L",14546.956407868,1194,14516.5441209896,1131
"ENSG00000069424","KCNAB2",16497.1363285739,712,16464.8812665677,661
"ENSG00000116254","CHD5",14965.3117029096,1064,14865.2972722876,1027
"ENSG00000116251","RPL22",19054.8924583746,342,19000.031420633,287
"ENSG00000097021","ACOT7",16410.9182391907,725,16031.7574552604,746
"ENSG00000171735","CAMTA1",15928.3268144984,831,15612.5604466005,835
"ENSG00000116288","PARK7",17823.2995017074,490,17222.0871211814,521
"ENSG00000171603","CLSTN1",20966.3331941345,201,20641.6766444802,168
"ENSG00000142634","EFHD2",12629.2866682171,1804,12513.7070457982,1807
"ENSG00000159363","ATP13A2",14122.26417184,1316,13898.3015232343,1337
"ENSG00000117118","SDHB",11737.9837822036,2015,11567.3646723228,2024
"ENSG00000173436","MICOS10",17159.5634149324,605,16488.9421510142,658
"ENSG00000158747","NBL1",15400.2399571446,948,15309.3324850444,913
"ENSG00000162545","CAMK2N1",23993.6876113885,104,23973.8960690471,82
"ENSG00000158828","PINK1",18020.0470470987,462,17705.3074456824,443
"ENSG00000075151","EIF4G3",12928.0386245421,1705,12863.3615701139,1675
"ENSG00000076864","RAP1GAP",14530.3316980751,1199,14444.2309946792,1155
"ENSG00000070831","CDC42",15929.3955444862,830,15904.4942858824,774
"ENSG00000142676","RPL11",21219.2635352776,190,21205.9380351242,145
"ENSG00000057757","PITHD1",15264.8644414076,981,15245.6037255358,930
"ENSG00000117632","STMN1",23271.0716724225,120,21936.6444929746,121
"ENSG00000130770","ATP5IF1",20083.9894116257,252,17718.3792875204,441
"ENSG00000134644","PUM1",13650.1182772814,1473,13382.3224786503,1512
"ENSG00000121769","FABP3",13802.4611649577,1427,13378.6150433902,1513
"ENSG00000121753","ADGRB2",15495.2427351618,932,15329.8160246164,904
"ENSG00000184007","PTP4A2",19594.8523483926,300,18916.6120696695,294
"ENSG00000175130","MARCKSL1",29743.1009410073,45,28487.1923426631,39
"ENSG00000134684","YARS",12944.3201912092,1697,12886.7233890797,1672
"ENSG00000121905","HPCA",16149.5709874703,779,16006.7740600004,752
"ENSG00000020129","NCDN",20928.8689177624,203,20461.8563909222,181
"ENSG00000126067","PSMB2",12702.9336088766,1777,12684.330127006,1742
"ENSG00000163875","MEAF6",12415.0137942742,1868,12391.2816258686,1844
"ENSG00000197982","C1orf122",15912.9091527862,836,15844.7910407783,787
"ENSG00000168653","NDUFS5",19616.6861032721,299,18130.7678114087,387
"ENSG00000116983","HPCAL4",15825.4158348587,857,15754.341692083,800
"ENSG00000131236","CAP1",13614.8173635425,1484,13603.8995458737,1437
