"gene","gene_name","dev_default","rank_default","dev_slide","rank_slide"
"ENSG00000244302","PEX5L-AS2",0,32923.5,0,32923.5
"ENSG00000287645","AC092939.1",549.403181554585,20307,522.774861439577,20388
"ENSG00000241696","LINC02053",0,32923.5,0,32923.5
"ENSG00000239774","AC125618.1",0,32923.5,0,32923.5
"ENSG00000163728","TTC14",33375.0352517207,6165,33101.489192574,6183
"ENSG00000284862","CCDC39",4445.96207958228,14636,4439.65798172168,14609
"ENSG00000243187","CCDC39-AS1",0,32923.5,0,32923.5
"ENSG00000285336","AC108734.4",0,32923.5,0,32923.5
"ENSG00000114416","FXR1",55394.3451941904,2848,54978.3294718825,2850
"ENSG00000205981","DNAJC19",58916.8970098443,2510,58651.5485889601,2496
"ENSG00000242808","SOX2-OT",90030.9272172634,839,87643.1502046651,873
"ENSG00000241231","AC068308.1",6602.84471310801,13475,6549.61141736645,13483
"ENSG00000239381","AC125613.1",1339.25676726107,17901,1328.80741068488,17890
"ENSG00000181449","SOX2",52390.2526538777,3206,52094.6875007094,3201
"ENSG00000242512","LINC01206",417.641450312762,21052,400.918358313742,21090
"ENSG00000286453","AC012081.2",0,32923.5,0,32923.5
"ENSG00000240478","AC012081.1",0,32923.5,0,32923.5
"ENSG00000287605","AC109131.1",0,32923.5,0,32923.5
"ENSG00000242012","AC084211.1",62.3856105418381,25908,54.2229145573645,26140
"ENSG00000241098","LINC01994",25.0517717453838,27585.5,21.241334210227,27619
"ENSG00000244247","LINC01995",148.630708087247,23735,139.786858122128,23749
"ENSG00000287941","AC021055.1",100.174631071166,24737,93.5204112205797,24744
"ENSG00000238837","LINC02031",0,32923.5,0,32923.5
"ENSG00000260377","AC083801.2",0,32923.5,0,32923.5
"ENSG00000240063","AC069431.1",0,32923.5,0,32923.5
"ENSG00000058063","ATP11B",19596.220548654,9291,19539.2343558129,9281
"ENSG00000273261","AC092953.2",1200.13084823262,18210,1182.22857855635,18209
"ENSG00000043093","DCUN1D1",42828.3662973906,4517,42654.644162022,4506
"ENSG00000078070","MCCC1",29248.6650964887,6988,29070.6292742425,6979
"ENSG00000243368","MCCC1-AS1",60.6878039685161,26075,57.5144419191425,25880
"ENSG00000078081","LAMP3",246.447119740926,22455,233.828640857328,22487
"ENSG00000053524","MCF2L2",15648.7664168877,10414,15624.7502886875,10399
"ENSG00000176597","B3GNT5",4198.26921343422,14797,4123.62587029454,14815
"ENSG00000172578","KLHL6",2000.19554715888,16838,1988.85852550071,16828
"ENSG00000242522","KLHL6-AS1",25.5471928671306,27517.5,22.4384363903551,27469.5
"ENSG00000114796","KLHL24",39369.2137047262,5058,39030.3667369353,5067
"ENSG00000163872","YEATS2",41629.2433077399,4683,41406.1715873438,4686
"ENSG00000233885","YEATS2-AS1",1572.00539302825,17468,1551.82606672145,17464
"ENSG00000180834","MAP6D1",48759.0351044725,3663,48530.0455350862,3654
"ENSG00000175193","PARL",35863.4898876271,5700,35828.797289718,5666
"ENSG00000114770","ABCC5",56840.4032226691,2711,56214.9653651827,2733
"ENSG00000223882","ABCC5-AS1",0,32923.5,0,32923.5
"ENSG00000186090","HTR3D",23.0180497907317,28057,19.8221050926234,27962
"ENSG00000178084","HTR3C",0,32923.5,0,32923.5
"ENSG00000238020","HTR3E-AS1",0,32923.5,0,32923.5
"ENSG00000186038","HTR3E",131.814315099555,24052,119.768527819426,24158
"ENSG00000273181","AC131235.3",1404.02162974883,17771,1393.62875367454,17769
"ENSG00000272721","AC131235.2",651.482160918967,19853,647.825693518825,19805
"ENSG00000145191","EIF2B5",45761.1805414637,4069,45383.9667637263,4078
"ENSG00000161202","DVL3",43813.0351022937,4356,43627.2352450237,4346
"ENSG00000161203","AP2M1",132441.485666092,176,126771.024821658,195
"ENSG00000161204","ABCF3",41749.3559574292,4665,41159.5394346855,4720
"ENSG00000145198","VWA5B2",34954.9709720787,5880,34148.8016139036,5976
"ENSG00000214160","ALG3",21643.7448108525,8810,21536.9151952208,8806
"ENSG00000284753","EEF1AKMT4",2976.04241827988,15777,2945.9364095506,15781
"ENSG00000163888","CAMK2N2",67711.6490813117,1848,65717.8969992621,1952
"ENSG00000145194","ECE2",17516.7336287541,9859,17294.3963602836,9898
"ENSG00000175166","PSMD2",81426.7120531035,1147,80179.6046667687,1152
"ENSG00000114867","EIF4G1",62590.7601285244,2216,62153.4627198043,2209
"ENSG00000175182","FAM131A",88684.191137537,880,86834.1638909416,899
"ENSG00000114859","CLCN2",14285.0466174988,10844,14224.0908534985,10832
"ENSG00000163882","POLR2H",44776.9396832283,4209,44704.1414452413,4182
"ENSG00000090534","THPO",6582.12405913778,13495,6459.3538450947,13527
"ENSG00000090539","CHRD",46746.0524133604,3930,46084.5278563504,3985
"ENSG00000224153","LINC02054",2250.86642190815,16543,2241.106507598,16523
"ENSG00000227509","LINC01839",0,32923.5,0,32923.5
"ENSG00000230215","LINC01840",114.970427802429,24395,102.844094947989,24550
