"gene","gene_name","dev_default","rank_default","dev_brain","rank_brain"
"ENSG00000145362","ANK2",109593.419577685,399,106987.523415161,386
"ENSG00000145349","CAMK2D",66768.6028798766,1810,66010.6254327937,1783
"ENSG00000138650","PCDH10",61517.8692986977,2037,60904.0517043048,2014
"ENSG00000109390","NDUFC1",92740.1568755092,736,89928.3816636944,754
"ENSG00000153130","SCOC",90156.8027299874,798,88748.8164502341,790
"ENSG00000109670","FBXW7",92905.4503793546,733,91049.700102028,725
"ENSG00000109654","TRIM2",98191.9591990721,614,96402.8492997218,594
"ENSG00000061918","GUCY1B1",85781.5204494973,942,84482.7540643316,913
"ENSG00000109738","GLRB",70567.2098240612,1613,69439.2790316967,1598
"ENSG00000120251","GRIA2",102397.452335055,528,99971.9609113766,520
"ENSG00000164124","TMEM144",68643.5750611213,1716,61035.8643530025,2008
"ENSG00000109756","RAPGEF2",63502.2171039967,1963,63121.5957834527,1922
"ENSG00000109472","CPE",154405.374180692,58,139891.885058144,64
"ENSG00000164106","SCRG1",85174.9458409963,967,83848.4061950686,947
"ENSG00000150625","GPM6A",161246.108926336,50,142916.240359346,51
"ENSG00000151729","SLC25A4",100610.246042304,554,99046.9135359552,531
"ENSG00000073578","SDHA",73337.8609643062,1453,72909.7465788736,1413
"ENSG00000215218","UBE2QL1",88201.9249109486,857,87036.9492181361,834
"ENSG00000150753","CCT5",65767.7700395547,1854,65332.3840660569,1816
"ENSG00000145495","MARCH6",92425.8469847075,744,90723.2011638443,736
"ENSG00000169862","CTNND2",91275.1825659557,771,90186.7164136763,746
"ENSG00000176788","BASP1",136124.780472953,127,132477.678152768,95
"ENSG00000113387","SUB1",103699.236397317,499,102725.68143417,459
"ENSG00000164187","LMBRD2",60379.7828125488,2062,59023.4114425528,2055
"ENSG00000079215","SLC1A3",142952.631803153,96,119054.184355949,220
"ENSG00000145592","RPL37",153575.594799963,61,143818.172930337,49
"ENSG00000083720","OXCT1",73075.1442281625,1470,71741.285189095,1482
"ENSG00000250722","SELENOP",91429.3497935188,768,82484.4034191078,996
"ENSG00000145632","PLK2",64242.7052775765,1929,63314.7936655941,1913
"ENSG00000152932","RAB3C",85092.4815289136,970,83828.410319931,949
"ENSG00000197860","SGTB",67324.4305517983,1782,66192.9642843102,1773
"ENSG00000145675","PIK3R1",83847.3113739365,1016,82188.5492113511,1014
"ENSG00000164326","CARTPT",95599.6722278544,660,87021.1769966377,835
"ENSG00000131711","MAP1B",150028.784540392,69,140804.778262075,61
"ENSG00000145741","BTF3",87087.2145765274,893,85866.0951546774,867
"ENSG00000171617","ENC1",189772.039395862,28,177574.543220055,21
"ENSG00000113161","HMGCR",63851.0809149913,1945,63187.6191124891,1919
"ENSG00000085365","SCAMP1",74408.0102476118,1404,73693.2708515776,1371
"ENSG00000152413","HOMER1",59708.2113402832,2075,58593.0108168783,2060
"ENSG00000113319","RASGRF2",64369.2989600637,1920,62511.6690166375,1950
"ENSG00000186468","RPS23",141092.95873408,106,134277.139161432,86
"ENSG00000164176","EDIL3",96576.7531227532,639,89025.8129510063,781
"ENSG00000127184","COX7C",127335.02401091,188,120695.702315852,201
"ENSG00000081189","MEF2C",109000.707727517,407,106513.595613151,391
"ENSG00000175745","NR2F1",64519.9690875118,1913,63879.6594935357,1891
"ENSG00000175426","PCSK1",59677.6222492497,2076,57810.9725079273,2073
"ENSG00000145730","PAM",67298.9307202139,1785,66610.3634876757,1749
"ENSG00000198961","PJA2",107572.175473693,430,104801.586075071,416
"ENSG00000134986","NREP",75360.412848391,1364,74527.4075838247,1336
"ENSG00000134982","APC",70276.0402200989,1628,68666.5058944245,1644
"ENSG00000129625","REEP5",108507.793400389,419,107016.994386371,385
"ENSG00000169567","HINT1",136826.612573703,124,121401.199633719,188
"ENSG00000158985","CDC42SE2",74906.4133447351,1383,73550.5409133371,1377
"ENSG00000164398","ACSL6",75482.4147021486,1358,74224.7459513018,1347
"ENSG00000131437","KIF3A",83218.8754827996,1041,82273.006521905,1011
"ENSG00000164402","SEPTIN8",93774.2953362182,709,91941.7889026055,704
"ENSG00000198944","SOWAHA",63227.0608940985,1969,61904.6144435443,1972
"ENSG00000164405","UQCRQ",129351.657370412,173,116507.686882287,256
"ENSG00000213585","VDAC1",96101.8939294401,650,94252.7772125842,636
"ENSG00000113558","SKP1",120523.370641092,268,117288.51563002,239
"ENSG00000113575","PPP2CA",94222.3881567275,697,93413.0662043464,656
"ENSG00000164615","CAMLG",70963.2176018852,1591,69549.9563809846,1591
"ENSG00000145824","CXCL14",118996.86441474,290,111186.988038306,328
"ENSG00000152377","SPOCK1",99239.5594099981,587,96277.8243279484,600
"ENSG00000177733","HNRNPA0",77503.3136520209,1259,76933.8357781667,1226
"ENSG00000132563","REEP2",89291.2246167369,824,87559.1491399084,816
"ENSG00000120738","EGR1",77488.4924096311,1261,64819.2171812142,1843
"ENSG00000113013","HSPA9",87827.5418668081,868,87431.3866948723,822
"ENSG00000120727","PAIP2",79287.6902118681,1174,78322.1632769039,1162
"ENSG00000131495","NDUFA2",91347.196136419,770,90456.2816523339,742
"ENSG00000146007","ZMAT2",74297.8564870454,1408,73192.9058088325,1392
"ENSG00000131507","NDFIP1",117497.217966139,311,116046.608474137,263
"ENSG00000113578","FGF1",65207.4959943964,1881,62585.6792460701,1942
"ENSG00000145819","ARHGAP26",63308.6791146594,1966,62694.9247511344,1940
"ENSG00000183775","KCTD16",59893.3824539574,2071,58188.2960353762,2066
"ENSG00000156475","PPP2R2B",73468.4490099328,1448,73136.6219652159,1398
"ENSG00000070808","CAMK2A",114697.358654539,337,111034.770162573,331
"ENSG00000019582","CD74",86454.3422324447,912,76250.8796260352,1256
"ENSG00000164587","RPS14",132072.311479716,154,127676.764218867,120
"ENSG00000171992","SYNPO",82949.0958228048,1050,80722.6320795741,1063
"ENSG00000211445","GPX3",65275.9731843788,1877,64469.6527941268,1862
"ENSG00000197043","ANXA6",103546.201942307,501,101548.391690848,481
"ENSG00000113140","SPARC",101351.162128156,545,97243.7851387117,574
"ENSG00000155506","LARP1",77020.7023613459,1287,76668.6683760565,1239
"ENSG00000055163","CYFIP2",99150.3702394809,591,98604.3805034565,538
"ENSG00000113312","TTC1",62216.1437320226,2011,62058.5796129327,1967
"ENSG00000164609","SLU7",68934.0602932149,1703,68053.6821686176,1679
"ENSG00000145864","GABRB2",89235.7580736553,825,85865.2048794949,868
"ENSG00000022355","GABRA1",106625.561569115,450,103814.33177487,433
"ENSG00000113327","GABRG2",85778.2456170925,943,84041.3858130102,936
"ENSG00000038274","MAT2B",62526.6309415522,1999,61982.5413342584,1970
"ENSG00000170091","NSG2",98517.6285306433,609,97406.8689477028,568
"ENSG00000145920","CPLX2",121585.468614749,253,116136.575548182,262
"ENSG00000175416","CLTB",96018.4530498449,652,95186.634878854,617
"ENSG00000074317","SNCB",135645.19504287,130,125507.308327697,140
"ENSG00000169230","PRELID1",70213.2406829831,1630,69622.1175541167,1588
"ENSG00000050748","MAPK9",81883.8033984834,1090,81048.7990150796,1054
"ENSG00000137267","TUBB2A",151783.27328771,66,136384.132680077,77
"ENSG00000124785","NRN1",89903.1867394835,803,88510.2578069719,794
"ENSG00000224531","SMIM13",65750.6118654435,1856,64804.0283209831,1844
"ENSG00000112137","PHACTR1",79894.15570195,1152,79274.3941880671,1119
"ENSG00000145990","GFOD1",69321.0572345863,1680,68898.2076005376,1629
"ENSG00000112186","CAP2",87827.9288199167,867,86753.2110329179,842
"ENSG00000152954","NRSN1",69882.7190286119,1644,68127.2428419236,1675
"ENSG00000112308","C6orf62",73477.7994690177,1447,72968.7537106423,1407
"ENSG00000204681","GABBR1",98999.5364292684,593,97735.3997482399,559
"ENSG00000204592","HLA-E",71407.2088687399,1563,67328.8286458498,1714
"ENSG00000196230","TUBB",113251.80096965,360,110590.368173504,333
"ENSG00000137312","FLOT1",92508.3071827202,742,92109.1989698746,698
"ENSG00000204580","DDR1",67698.1134777989,1755,63038.3692984969,1926
"ENSG00000213760","ATP6V1G2",100655.183910493,553,97255.2379998509,573
"ENSG00000204469","PRRC2A",70699.4540579151,1606,69986.770620865,1570
"ENSG00000204388","HSPA1B",137592.897124988,121,82800.3275929383,988
"ENSG00000204314","PRRT1",81959.9084807489,1086,81197.2217154905,1046
"ENSG00000124614","RPS10",117590.436486242,309,106985.608765497,387
"ENSG00000124507","PACSIN1",96775.5844691274,638,94968.3673985226,621
"ENSG00000198755","RPL10A",108587.484869661,416,106702.431913795,389
"ENSG00000137409","MTCH1",117886.08612131,307,116607.730157365,253
"ENSG00000124702","KLHDC3",94387.0835716926,690,93454.8155824427,654
"ENSG00000096384","HSP90AB1",134519.303576048,136,129602.805940342,108
"ENSG00000178233","TMEM151B",76963.3462526983,1292,75171.0308160758,1301
"ENSG00000172348","RCAN2",96941.7607889321,634,96105.6165835927,602
"ENSG00000170915","PAQR8",67849.0190622563,1748,64082.8435607666,1885
"ENSG00000096092","TMEM14A",75922.0572871634,1339,74877.4808818074,1315
"ENSG00000112146","FBXO9",67106.154937203,1792,66469.0490058713,1756
"ENSG00000151914","DST",89720.8071913202,814,85369.1686425554,885
"ENSG00000119900","OGFRL1",72823.3404235859,1486,70953.6393333748,1518
"ENSG00000185760","KCNQ5",59799.078822881,2073,59074.5832340447,2053
"ENSG00000156508","EEF1A1",170712.242058418,37,158531.060525003,30
"ENSG00000112695","COX7A2",121337.418642012,256,111215.483264737,326
"ENSG00000112697","TMEM30A",86215.6870576796,920,85515.7146298984,877
"ENSG00000065609","SNAP91",94228.5695647513,696,93068.8177477967,667
"ENSG00000135334","AKIRIN2",58357.9811234793,2087,58021.8400682416,2068
"ENSG00000118432","CNR1",62898.4502644694,1985,61696.9043967,1980
"ENSG00000112335","SNX3",102780.455417215,519,101405.373036764,483
"ENSG00000112290","WASF1",92093.1196432064,753,91349.0317582956,717
"ENSG00000277443","MARCKS",98628.8534546845,605,97018.6248520686,581
"ENSG00000187189","TSPYL4",81179.4809130619,1114,79819.4701386879,1098
"ENSG00000189241","TSPYL1",123345.815387601,228,120097.117648223,206
"ENSG00000152661","GJA1",115980.615768753,325,98365.515824755,546
"ENSG00000111897","SERINC1",122943.779034387,233,116962.078291097,247
"ENSG00000189367","KIAA0408",67510.5373030322,1765,66723.57607822,1743
"ENSG00000112306","RPS12",172850.425406558,33,163129.011116144,26
"ENSG00000120265","PCMT1",101749.872828764,541,98454.3543389269,542
"ENSG00000131016","AKAP12",69742.7599852223,1653,68768.2784056662,1639
"ENSG00000131018","SYNE1",69986.8365905561,1639,69715.3283601789,1582
"ENSG00000074706","IPCEF1",66538.639599501,1821,65813.097338359,1793
"ENSG00000112096","SOD2",106488.687759504,456,92748.4785647541,677
"ENSG00000120438","TCP1",77986.9034854863,1242,76688.2811222955,1238
"ENSG00000112531","QKI",126329.019638332,202,113650.134612937,291
"ENSG00000188191","PRKAR1B",122391.334593046,238,121281.338835928,190
"ENSG00000157954","WIPI2",67432.870996917,1768,67217.8176592549,1721
"ENSG00000075624","ACTB",147146.721325461,84,141226.033355561,59
"ENSG00000136238","RAC1",103735.081840588,498,101603.153437066,476
"ENSG00000189043","NDUFA4",175101.673904391,31,138186.01325229,73
"ENSG00000106537","TSPAN13",71964.0693793144,1535,71171.6893749699,1505
"ENSG00000136237","RAPGEF5",73729.2436100122,1435,72561.4535059471,1432
"ENSG00000196683","TOMM7",121024.345024358,261,117179.628239189,242
"ENSG00000122585","NPY",125467.620720724,211,119614.937662016,212
"ENSG00000172115","CYCS",100961.110265906,550,99351.97594199,526
"ENSG00000086300","SNX10",82361.9766574986,1070,81103.0394706162,1052
"ENSG00000106052","TAX1BP1",73347.7946346878,1451,72491.0787785342,1439
"ENSG00000136193","SCRN1",82509.3543812399,1059,81843.6493567658,1022
"ENSG00000180354","MTURN",139695.679146218,112,135737.023696403,78
"ENSG00000240583","AQP1",55050.335371745,2097,47483.459293311,2095
"ENSG00000155849","ELMO1",84029.8822386434,1008,82954.5116845876,980
"ENSG00000086289","EPDR1",73071.639396948,1471,71989.1579409294,1469
"ENSG00000078053","AMPH",76649.7617859241,1302,76120.013453,1260
"ENSG00000062582","MRPS24",71369.1679435235,1568,70273.8968552122,1552
"ENSG00000058404","CAMK2B",109506.613721521,401,108234.858645498,367
