"gene","gene_name","dev_default","rank_default","dev_brain","rank_brain"
"ENSG00000189159","JPT1",12017.95787442,1801,12007.6313863,1776
"ENSG00000177885","GRB2",13275.9826196652,1454,13222.2816042824,1417
"ENSG00000132471","WBP2",18712.8634346748,486,18634.7770294363,450
"ENSG00000141576","RNF157",11596.8978300762,1891,11581.3652795328,1873
"ENSG00000182534","MXRA7",14207.1562323751,1214,14057.3524290389,1210
"ENSG00000167889","MGAT5B",9156.1161666032,2095,9147.21016498755,2089
"ENSG00000167281","RBFOX3",13291.1648680746,1450,13205.2115424354,1423
"ENSG00000171246","NPTX1",21127.2711985509,272,20647.804214556,264
"ENSG00000181409","AATK",14666.2733269399,1110,14097.8652162857,1200
"ENSG00000184009","ACTG1",22295.7432234432,201,22053.7307862596,170
"ENSG00000169738","DCXR",14188.0199423458,1221,13828.8152130123,1259
"ENSG00000118680","MYL12B",15830.3996865282,889,15674.5879017302,864
"ENSG00000170579","DLGAP1",15527.9303952277,936,15131.9981122926,956
"ENSG00000178127","NDUFV2",14667.9642541888,1109,14580.0438193863,1078
"ENSG00000101558","VAPA",16082.4983399233,846,16065.3342409312,792
"ENSG00000141447","OSBPL1A",13063.0865605149,1516,12890.8955459927,1519
"ENSG00000171885","AQP4",33607.450190282,37,30884.1464202313,31
"ENSG00000166974","MAPRE2",16580.1042573614,768,16574.6025898198,721
"ENSG00000134779","TPGS2",12489.446143515,1680,12430.1868758832,1659
"ENSG00000101489","CELF4",16604.6868597077,766,16374.9965251125,748
"ENSG00000132872","SYT4",18432.5870120792,514,17996.5653419932,520
"ENSG00000152234","ATP5F1A",20658.6992183663,320,19690.198580258,351
"ENSG00000196628","TCF4",15265.3477303191,981,15239.8285253657,929
"ENSG00000091164","TXNL1",12847.0301432794,1577,12791.7892943261,1559
"ENSG00000091157","WDR7",11183.6347163663,1970,11024.2094275553,1979
"ENSG00000177511","ST8SIA3",14854.4309432501,1070,14794.1561225433,1027
"ENSG00000141668","CBLN2",10127.6064654574,2072,9864.19578534625,2077
"ENSG00000150656","CNDP1",13315.0432210887,1442,12482.6670160212,1647
"ENSG00000197971","MBP",288854.141615822,2,264283.224057886,1
"ENSG00000099804","CDC34",11366.2568791964,1943,11253.7710423233,1941
"ENSG00000172270","BSG",22135.3108953045,214,20736.3978460961,255
"ENSG00000167468","GPX4",20628.2483872402,324,20524.5871783107,281
"ENSG00000099624","ATP5F1D",19549.753533377,411,19529.4291169326,366
"ENSG00000099622","CIRBP",18365.3112713135,523,18229.4610216829,489
"ENSG00000115268","RPS15",23610.0591002707,149,23423.4980053671,118
"ENSG00000115266","APC2",12531.8842644807,1664,12450.7437682678,1656
"ENSG00000127540","UQCR11",21255.6783258939,266,20779.7680122211,251
"ENSG00000104904","OAZ1",20862.0138230258,299,20644.7506580795,267
"ENSG00000176490","DIRAS1",15122.828442843,1012,15084.7668964783,967
"ENSG00000104964","TLE5",20652.7803702413,321,20468.8891253908,286
"ENSG00000161082","CELF5",11823.6994042553,1844,11761.4002966938,1834
"ENSG00000186111","PIP5K1C",12321.8664102006,1724,12221.2313492036,1717
"ENSG00000167654","ATCAY",14085.9030532883,1248,14085.2765962935,1202
"ENSG00000167658","EEF2",20099.3850907514,367,19995.9791021346,322
"ENSG00000178951","ZBTB7A",12521.2823701465,1667,12493.7352747179,1643
"ENSG00000126934","MAP2K2",16422.3080022604,791,16220.207802122,771
"ENSG00000167680","SEMA6B",12762.3959214711,1601,12606.0057820911,1612
"ENSG00000130255","RPL36",23707.3971392962,146,23363.8013492508,119
"ENSG00000174917","MICOS13",16085.6280814051,845,15940.1792751343,816
"ENSG00000167733","HSD11B1L",11694.8300111629,1870,11675.6489992299,1854
"ENSG00000174886","NDUFA11",17451.5470527877,637,17267.2911221499,611
"ENSG00000125648","SLC25A23",16376.2223328627,797,16146.3644695254,783
"ENSG00000229833","PET100",16303.0237689703,809,16082.3870470619,790
"ENSG00000181029","TRAPPC5",17053.4414353148,694,17014.1458249858,646
"ENSG00000260001","TGFBR3L",11116.9754623791,1980,11055.061767069,1973
"ENSG00000178531","CTXN1",19576.6715622842,409,19423.5145256969,373
"ENSG00000233927","RPS28",25393.1059929897,104,24922.1152988577,77
"ENSG00000198258","UBL5",19378.3147622725,428,19084.7261037355,403
"ENSG00000127445","PIN1",18188.7495794465,545,17876.2885425344,539
"ENSG00000105376","ICAM5",10542.8511724,2045,10497.0953185374,2036
"ENSG00000267673","FDX2",10920.9658720833,2007,10761.5332941493,2012
"ENSG00000105401","CDC37",13058.7657717798,1517,13057.0389968662,1471
"ENSG00000129355","CDKN2D",15050.7285129902,1032,14979.1635253718,990
"ENSG00000130175","PRKCSH",12812.4279195224,1593,12461.584419592,1652
"ENSG00000196361","ELAVL3",15422.854931462,952,15209.2773412931,938
"ENSG00000105576","TNPO2",12175.0705521108,1769,12083.2862341955,1762
"ENSG00000123144","TRIR",15202.2417558632,995,15172.4367120698,948
"ENSG00000171223","JUNB",18396.6431017021,519,16842.5358206389,684
"ENSG00000167815","PRDX2",19708.801179198,401,19487.8570904735,371
"ENSG00000105613","MAST1",10615.7988448016,2037,10596.9550796212,2028
"ENSG00000179262","RAD23A",14352.4354002149,1181,14288.7779691281,1146
"ENSG00000141837","CACNA1A",11131.693308449,1978,11098.2729912619,1963
"ENSG00000072071","ADGRL1",13570.6439402367,1379,13504.5933907221,1353
"ENSG00000099795","NDUFB7",17963.2665588854,573,17908.6064685569,533
"ENSG00000105393","BABAM1",12680.9787143635,1615,12592.0054742061,1614
"ENSG00000127220","ABHD8",12225.6993282691,1754,12093.4135996961,1758
"ENSG00000130477","UNC13A",14273.0837912327,1197,14208.4398375569,1162
"ENSG00000105640","RPL18A",22592.7494610251,185,22570.980381521,146
"ENSG00000099308","MAST3",19856.2510142417,389,19399.3820690377,377
"ENSG00000105649","RAB3A",19469.7360660171,422,19333.8002667833,384
"ENSG00000130520","LSM4",14235.0855611866,1206,14202.0683687811,1168
"ENSG00000105701","FKBP8",19259.5315330345,442,18867.9201995802,424
"ENSG00000105696","TMEM59L",22564.7275964461,187,21324.5986821739,217
"ENSG00000064607","SUGP2",12396.8755027796,1697,12394.0298681474,1673
"ENSG00000187664","HAPLN4",12535.5258951929,1663,12309.9395771567,1691
"ENSG00000186010","NDUFA13",20121.0368294945,364,19986.0148545423,323
"ENSG00000169021","UQCRFS1",15571.9173529516,931,14803.665642277,1026
"ENSG00000105185","PDCD5",13408.6221873907,1423,13352.6222984769,1389
"ENSG00000105220","GPI",20062.5130330851,371,20039.0889281003,318
"ENSG00000105711","SCN1B",16321.850323656,807,16027.4401452753,800
"ENSG00000266964","FXYD1",20034.8493087253,373,18825.9705921759,429
"ENSG00000221946","FXYD7",18042.7564261451,563,17918.2627388592,532
"ENSG00000105695","MAG",28990.0047397775,66,24441.4442174813,90
"ENSG00000126267","COX6B1",19978.7360210519,376,19378.8147110643,379
"ENSG00000105290","APLP1",29653.7943495899,56,26931.1005012475,56
"ENSG00000105270","CLIP3",19450.2313333104,425,18990.03976509,411
"ENSG00000126247","CAPNS1",18037.5773395528,565,17984.6733596004,522
"ENSG00000161281","COX7A1",14928.9179985617,1051,14529.8208056321,1092
"ENSG00000167642","SPINT2",15667.315493212,917,15594.2036326569,881
"ENSG00000167641","PPP1R14A",30426.9099556895,51,25312.7688036161,72
"ENSG00000099341","PSMD8",13885.3263799362,1290,13811.6144066808,1263
"ENSG00000178982","EIF3K",15192.2699539232,997,14960.968141559,997
"ENSG00000104824","HNRNPL",10265.2160384965,2066,10258.9779039209,2057
"ENSG00000068903","SIRT2",18154.2169139744,549,17215.6676052511,619
"ENSG00000105193","RPS16",21940.6163206432,233,21880.7009809137,181
"ENSG00000174521","TTC9B",17975.4388639602,571,17619.7416955043,566
"ENSG00000105223","PLD3",21534.0855739785,258,20884.7820589361,244
"ENSG00000160460","SPTBN4",10782.015712928,2022,10729.839454696,2016
"ENSG00000105372","RPS19",23617.3582896348,148,23212.0690519432,122
"ENSG00000105409","ATP1A3",20137.3820155586,361,19490.3516675001,370
"ENSG00000105723","GSK3A",12157.752743935,1773,12114.0635053319,1749
"ENSG00000130203","APOE",44503.7757589426,24,32088.0877040351,28
"ENSG00000125743","SNRPD2",15714.1923603958,907,15675.9020843264,863
"ENSG00000182013","PNMA8A",16090.4667588243,844,15914.2887466798,823
"ENSG00000204851","PNMA8B",15212.6227461059,993,15037.0967870617,980
"ENSG00000160014","CALM3",24761.6242287959,124,24259.5867703502,96
"ENSG00000042753","AP2S1",16635.2734119103,763,16448.1785587289,742
"ENSG00000160007","ARHGAP35",13370.5550299344,1430,13320.330820731,1396
"ENSG00000130748","TMEM160",18191.0525512093,544,18146.7429689246,500
"ENSG00000105402","NAPA",17305.5982550364,657,17276.1108425138,609
"ENSG00000178980","SELENOW",21777.6722797026,241,21478.033098027,208
"ENSG00000063180","CA11",17918.6664774714,576,17904.3292234649,534
"ENSG00000087086","FTL",35937.8068057193,31,30467.6818880773,34
"ENSG00000177380","PPFIA3",11888.479143467,1830,11844.8046881264,1820
"ENSG00000104888","SLC17A7",25381.4126358792,105,24326.6777290188,93
"ENSG00000196961","AP2A1",12721.51111718,1608,12552.8529879932,1624
"ENSG00000105568","PPP2R1A",21045.9266467439,280,20792.3497513265,250
"ENSG00000126583","PRKCG",13274.3453203734,1456,13266.8359094965,1410
"ENSG00000170906","NDUFA3",19856.802334471,388,19823.1712781511,338
"ENSG00000125505","MBOAT7",15477.2103275055,942,15447.2094654948,901
"ENSG00000170889","RPS9",22291.0244223913,202,22164.1165404623,169
"ENSG00000129990","SYT5",13869.5460407649,1298,13819.7947920405,1261
"ENSG00000133265","HSPBP1",11142.8947103279,1977,11107.3416926826,1961
"ENSG00000160469","BRSK1",13211.6190976581,1474,13154.8456821817,1441
"ENSG00000108107","RPL28",25432.0332400562,102,24290.5969790192,95
"ENSG00000063245","EPN1",14701.4234277895,1105,14581.7996264128,1077
"ENSG00000198300","PEG3",17119.8140612673,681,16932.2490812054,668
"ENSG00000083845","RPS5",20927.7121624776,292,20892.1160866959,242
"ENSG00000130725","UBE2M",15195.3306639455,996,15187.775597926,944
"ENSG00000125841","NRSN2",15248.406111172,982,15217.550277526,936
"ENSG00000101298","SNPH",11803.8449134623,1851,11748.3493402278,1838
"ENSG00000088832","FKBP1A",16481.0528315631,783,16358.3487749559,751
"ENSG00000198053","SIRPA",18068.9740894596,560,17773.9261540092,550
"ENSG00000132670","PTPRA",15434.8477271812,950,15315.5579281964,918
"ENSG00000088899","LZTS3",11627.2195373812,1883,11615.8924954115,1863
"ENSG00000171867","PRNP",22705.7671733339,179,22308.0199883666,160
"ENSG00000089063","TMEM230",12916.9831061959,1555,12901.9007531954,1508
"ENSG00000101290","CDS2",12092.3783520251,1782,12086.3263453225,1761
"ENSG00000089199","CHGB",15136.7353060237,1009,13140.2851459174,1448
"ENSG00000125827","TMX4",15418.6231471405,954,15166.3877709301,951
"ENSG00000182621","PLCB1",16254.3259485024,819,15790.8920471341,842
"ENSG00000125869","LAMP5",9441.62053769288,2092,9061.23334138906,2091
"ENSG00000132639","SNAP25",48804.5235383494,21,42747.0314675578,15
"ENSG00000132640","BTBD3",12578.6703975708,1647,12569.651833995,1619
