"gene","gene_name","dev_default","rank_default","dev_brain","rank_brain"
"ENSG00000175756","AURKAIP1",13570.6091414494,769,13506.4885436203,763
"ENSG00000242485","MRPL20",12594.1676413988,958,12561.1596321819,939
"ENSG00000160075","SSU72",12815.9730212019,915,12785.3257933137,891
"ENSG00000078369","GNB1",17023.4818603311,374,16929.4049775294,363
"ENSG00000187730","GABRD",13941.7776566476,719,13865.1409968967,712
"ENSG00000158109","TPRG1L",12856.8242436337,904,12842.3607083004,881
"ENSG00000069424","KCNAB2",16102.4678908805,461,15915.3786236631,458
"ENSG00000116254","CHD5",14435.9056068464,647,13888.4680922024,705
"ENSG00000116251","RPL22",20186.7145418628,171,20126.0656698765,149
"ENSG00000097021","ACOT7",14922.3792573329,597,14639.9033033256,607
"ENSG00000171735","CAMTA1",13839.6684973014,735,13668.3129298887,743
"ENSG00000116288","PARK7",16430.0282413571,428,16079.4594047342,448
"ENSG00000171603","CLSTN1",20274.0988311482,163,20121.5822183223,150
"ENSG00000142634","EFHD2",10372.6990697425,1516,10336.8077374255,1504
"ENSG00000159363","ATP13A2",12428.1215528596,979,12394.9889030954,965
"ENSG00000117118","SDHB",8418.52441991345,1996,8376.97212199734,1995
"ENSG00000173436","MICOS10",16580.4463493111,412,16506.890840032,399
"ENSG00000158747","NBL1",15024.9170323432,586,14822.9591801562,586
"ENSG00000162545","CAMK2N1",22901.0305223913,75,22750.7083141254,62
"ENSG00000158828","PINK1",17174.9182744561,364,17078.9922823632,354
"ENSG00000075151","EIF4G3",9697.53033118922,1709,9692.14230144346,1692
"ENSG00000076864","RAP1GAP",13214.1610272472,836,13090.3287274295,839
"ENSG00000070831","CDC42",13184.9061538668,843,13152.0715057989,823
"ENSG00000142676","RPL11",23225.426932845,66,22732.1851010959,63
"ENSG00000057757","PITHD1",12560.0595903835,966,12533.9778326095,944
"ENSG00000117632","STMN1",22017.7616184144,95,21460.9764914885,96
"ENSG00000130770","ATP5IF1",16703.6307355599,401,16424.8503072506,407
"ENSG00000134644","PUM1",9370.1488625515,1811,9358.00682620829,1795
"ENSG00000121769","FABP3",13328.2669818993,817,13107.2307208132,836
