"gene","gene_name","dev_default","rank_default","dev_slide","rank_slide"
"ENSG00000113269","RNF130",64992.5439758353,1889,64775.0412689145,1876
"ENSG00000204628","RACK1",104568.345344855,481,104241.881055815,459
"ENSG00000137285","TUBB2B",114079.57071523,350,110353.292790037,373
"ENSG00000206503","HLA-A",83109.9350643776,1047,81035.8760777409,1091
"ENSG00000204525","HLA-C",70763.3779898625,1598,68254.4988452214,1711
"ENSG00000234745","HLA-B",87412.0707853375,881,86871.2197309972,873
"ENSG00000204310","AGPAT1",68590.760183357,1721,68417.5660499199,1703
"ENSG00000231500","RPS18",134641.608690508,134,124729.979478377,189
"ENSG00000231925","TAPBP",73081.6345311748,1469,72953.004087441,1449
"ENSG00000272325","NUDT3",85957.0933413061,934,85314.4242597472,921
"ENSG00000124772","CPNE5",64706.0504654088,1902,64601.2465070126,1884
"ENSG00000124767","GLO1",69292.7540247101,1682,69097.4879748523,1659
"ENSG00000214736","TOMM6",78941.7746205134,1193,78519.4802112789,1188
"ENSG00000111912","NCOA7",74103.2125070334,1418,73354.7002414745,1424
"ENSG00000092820","EZR",67329.7828204183,1780,66601.4391686316,1788
"ENSG00000075618","FSCN1",88933.3865084039,834,88718.5553351545,816
"ENSG00000122566","HNRNPA2B1",104509.425565084,483,103900.177266775,467
"ENSG00000122545","SEPTIN7",115048.373285595,334,113512.286386154,329
"ENSG00000126524","SBDS",72957.1776921889,1478,72734.8167529929,1461
"ENSG00000263001","GTF2I",112794.755641515,365,111344.887360871,360
"ENSG00000127955","GNAI1",63275.2221176894,1967,62937.8035548091,1962
"ENSG00000105854","PON2",74256.0479584961,1410,72462.2995016493,1484
"ENSG00000188186","LAMTOR4",96859.831506099,635,94906.9139422391,653
"ENSG00000214253","FIS1",104000.643185099,493,103481.912619914,479
"ENSG00000128524","ATP6V1F",103294.720381331,511,101804.958546206,516
"ENSG00000105894","PTN",98999.358792456,594,98166.370709495,592
"ENSG00000253230","LINC00599",64427.581928197,1916,63691.2720620093,1931
"ENSG00000104765","BNIP3L",80153.1902355322,1145,79197.6488774278,1156
